,ExpectedNumberOfAwards,AgencyName
318,3.0,NRCS-Alaska State Office
319,50.0,NRCS-Arkansas State Office
320,38.0,NRCS-Connecticut State Office
321,14.0,NRCS-Illinois State Office
322,32.0,NRCS-Maine State Office
323,72.0,NSWC - CRANE
324,172.0,NSWC Indian Head
325,4.0,NUWC Division Keyport
326,609.0,National Aeronautics and Space Administration
327,1719.0,National Archives and Records Administration
328,1.0,National Business Center
329,31.0,National Council on Disability
330,487.0,National Credit Union Administration
331,2098.0,National Endowment for the Arts
332,6376.0,National Endowment for the Humanities
333,6978.0,National Energy Technology Laboratory
334,80.0,National Geospatial-Intelligence Agency 
335,337.0,National Highway Traffic Safety Administration
336,371.0,National Institute of Corrections
337,1848012137.0,National Institute of Food and Agriculture
338,10630.0,National Institute of Justice
339,4613.0,National Institute of Standards and Technology
340,5032358.0,National Institutes of Health
341,2141.0,National Oceanic and Atmospheric Administration
342,1509809.0,National Park Service
343,48031.0,National Science Foundation
344,408.0,National Telecommunications and Information Admini
345,615.0,National Veterans Sports Programs
346,18400.0,Natural Resources Conservation Service
347,1.0,Naval Air Warfare Center Aircraft Div. Lakehurst
348,2.0,Naval Facilities Engineering Command Southwest
349,5.0,Naval Information Warfare Center Pacific
350,8.0,Naval Research Laboratory
351,276.0,Naval Supply Systems Command
352,2.0,Naval Surface Warfare Center - Carderock
353,10.0,Nebraska State Office
354,31.0,Nepal USAID-Kathmandu
355,76.0,New Jersey State Office
356,31.0,New Mexico State Office
357,35.0,New York State Office
358,8.0,Nicaragua USAID-Managua
359,71.0,Nigeria USAID-Abuja
360,45.0,Norman E. Borlaug Intl Ag Science and Tech 10.777
361,2.0,North Carolina State Office
362,34.0,North Dakota State Office
363,656.0,Nuclear Regulatory Commission
364,368.0,OASAM
365,363.0,ODISP- OESP
366,2.0,OUSD R-E  Basic Research Office
367,32.0,Oak Ridge Office
368,1890.0,Occupational Safety and Health Administration
369,5345.0,Office for Victims of Crime
370,32.0,Office of Acquisitions Management
371,1.0,Office of Capital Access 
372,23.0,Office of Disability Employment Policy
373,6.0,Office of Global Criminal Justice
374,11.0,Office of Global Womens Issues
375,259.0,Office of Justice Programs
376,2545.0,Office of Juvenile Justice Delinquency Prevention 
377,20.0,Office of Local Defense Community Cooperation
378,270.0,Office of Mental Health and Suicide Prevention
379,42.0,Office of National Drug Control Policy 
380,2663.0,Office of Naval Research
381,3245.0,Office of Partnerships and Public Engagements
382,8.0,Office of Policy ORES
383,1588.0,Office of Procurement Operations - Grants Division
384,12049.0,Office of Science
385,1044.0,Office of Surface Mining
386,6193.0,Office of the Assistant Secretary for Health
387,9.0,Office of the Director of National Intelligence
388,2113.0,Office of the Middle East Partnership Initiative
389,412.0,Office of the National Coordinator
390,87.0,Office of the Secretary
391,12556.0,Office on Violence Against Women
392,627.0,Office to Monitor-Combat Trafficking in Persons
393,161.0,Ohio State Office
394,59.0,Omaha District
395,573.0,PHMSA Hazmat Grants - Inactive
396,10.0,Pacific Island Area State Office
397,74.0,Pakistan USAID-Islamabad
398,1.0,Panama USAID-Panama City
399,35.0,Paraguay USAID-Asuncion
400,55.0,Pennsylvania State Office
401,259.0,Peru USAID-Lima
402,86.0,Philippines USAID-Manila
403,2812.0,Pipeline and Hazardous Materials Safety Admin
404,300.0,Preparedness - OG&T
405,205.0,Press and Public Diplomacy
406,17.0,Puerto Rico State Office
407,100.0,Quality Samples Program 10.605
408,46.0,RECORD ONLY
409,839.0,Region 1
410,842.0,Region 10
411,887.0,Region 2
412,955.0,Region 3
413,866.0,Region 4
414,926.0,Region 5
415,848.0,Region 6
416,1259.0,Region 7
417,824.0,Region 8
418,844.0,Region 9
419,144.0,Rhode Island State Office
420,45.0,Richland
421,741.0,Risk Management Agency
422,2396.0,Risk Management Education
423,60470.0,Rural Business-Cooperative Service 
424,3928.0,Rural Housing Service
425,10599.0,Rural Utilities Service
426,14.0,Russia USAID-Moscow
427,61.0,Rwanda USAID-Kigali 
428,24.0,SIPPRA
429,855.0,SMART
430,8.0,SPAWAR SYSTEMS CENTER
431,8.0,Savannah District
432,50.0,Scientific Cooperation and Research 10.961
433,5.0,Seattle District
434,17.0,Section 108 Foreign Currency 10.617
435,121.0,Senegal USAID-Dakar
436,36.0,Serbia USAID-Belgrade
437,4850.0,Small Business Administration
438,270.0,Social Security Administration
439,4.0,Somalia USAID-Mogadishu
440,228.0,South Africa USAID-Pretoria
441,24.0,South Carolina State Office
442,4.0,South Dakota State Office
443,19.0,South Sudan (USAID)-Juba
444,40.0,Southeast Crescent Regional Commission
445,8.0,Sri Lanka USAID-Colombo
446,4834.0,Substance Abuse and Mental Health Services Admin
447,8324.0,Substance Abuse and Mental Health Services Adminis
448,18.0,Sudan USAID-Khartoum
449,257.0,Supportive Services for Veteran Families
450,2.0,Tajikistan USAID-Dushanbe
451,91.0,Tanzania USAID-Dar es Salaam
452,1500.0,Tax Counseling for the Elderly 
453,22.0,Technical Agricultural Assistance 10.960
454,125.0,Technical Assistance for Specialty Crops 10.604
455,4.0,Texas State Office
456,128.0,Thailand USAID-Bangkok
457,2.0,Trade Policy and Geographic Affairs
458,210.0,Transportation Security Administration
459,1283.0,U.S. Dept. of Treasury RESTORE Act Program
460,9.0,U.S. Mission to ASEAN
461,453.0,U.S. Mission to Afghanistan
462,20.0,U.S. Mission to Albania
463,11.0,U.S. Mission to Algeria
464,48.0,U.S. Mission to Angola
465,26.0,U.S. Mission to Argentina
466,226.0,U.S. Mission to Armenia
467,23.0,U.S. Mission to Australia
468,73.0,U.S. Mission to Austria
469,85.0,U.S. Mission to Azerbaijan
470,77.0,U.S. Mission to Bangladesh
471,173.0,U.S. Mission to Barbados
472,8.0,U.S. Mission to Belarus
473,2489.0,U.S. Mission to Belgium
474,325.0,U.S. Mission to Belize
475,56.0,U.S. Mission to Benin
476,193.0,U.S. Mission to Bolivia 
477,581.0,U.S. Mission to Bosnia and Herzegovina
478,85.0,U.S. Mission to Botswana
479,60.0,U.S. Mission to Brazil
480,451.0,U.S. Mission to Brunei
481,34.0,U.S. Mission to Bulgaria
482,73.0,U.S. Mission to Burkina Faso
483,15.0,U.S. Mission to Burundi
484,15.0,U.S. Mission to Cambodia
485,326.0,U.S. Mission to Cameroon
486,29.0,U.S. Mission to Canada
487,38.0,U.S. Mission to Cape Verde
488,94.0,U.S. Mission to Central African Republic
489,72.0,U.S. Mission to Chad
490,80.0,U.S. Mission to Chile
491,2477.0,U.S. Mission to China
492,39.0,U.S. Mission to Colombia
493,239.0,U.S. Mission to Costa Rica
494,181.0,U.S. Mission to Cote d Ivoire
495,43.0,U.S. Mission to Croatia
496,4.0,U.S. Mission to Cuba
497,16.0,U.S. Mission to Cyprus
498,5.0,U.S. Mission to Denmark
499,13.0,U.S. Mission to Djibouti
500,5.0,U.S. Mission to Ecuador
501,24.0,U.S. Mission to Egypt
502,29.0,U.S. Mission to El Salvador
503,10.0,U.S. Mission to Equatorial Guinea
504,5.0,U.S. Mission to Eritrea
505,3.0,U.S. Mission to Estonia
506,48.0,U.S. Mission to Eswatini
507,78.0,U.S. Mission to Ethiopia
508,113.0,U.S. Mission to Fiji
509,31.0,U.S. Mission to Finland
510,87.0,U.S. Mission to France
511,3.0,U.S. Mission to Gabon
512,42.0,U.S. Mission to Gambia
513,1090.0,U.S. Mission to Georgia
514,43.0,U.S. Mission to Germany
515,68.0,U.S. Mission to Ghana
516,32.0,U.S. Mission to Greece
517,159.0,U.S. Mission to Guatemala
518,80.0,U.S. Mission to Guinea
519,2.0,U.S. Mission to Guyana
520,63.0,U.S. Mission to Haiti
521,2.0,U.S. Mission to Honduras
522,199.0,U.S. Mission to Hungary
523,1458.0,U.S. Mission to India
524,114.0,U.S. Mission to Indonesia
525,165.0,U.S. Mission to Iraq
526,3.0,U.S. Mission to Ireland
527,81.0,U.S. Mission to Israel
528,2.0,U.S. Mission to Italy
529,65.0,U.S. Mission to Jamaica
530,630615.0,U.S. Mission to Japan
531,235.0,U.S. Mission to Jerusalem
532,209.0,U.S. Mission to Jordan
533,420.0,U.S. Mission to Kazakhstan
534,66.0,U.S. Mission to Kenya
535,140.0,U.S. Mission to Kosovo
536,489.0,U.S. Mission to Kuwait
537,207.0,U.S. Mission to Kyrgyzstan
538,10.0,U.S. Mission to Laos
539,17.0,U.S. Mission to Latvia
540,327.0,U.S. Mission to Lebanon
541,144.0,U.S. Mission to Lesotho
542,20.0,U.S. Mission to Liberia
543,7.0,U.S. Mission to Lithuania
544,16.0,U.S. Mission to Luxembourg
545,39.0,U.S. Mission to Madagascar
546,693.0,U.S. Mission to Malawi
547,562.0,U.S. Mission to Malaysia
548,50.0,U.S. Mission to Mali
549,31.0,U.S. Mission to Malta
550,251.0,U.S. Mission to Mauritania
551,6.0,U.S. Mission to Mauritius
552,224.0,U.S. Mission to Mexico
553,265.0,U.S. Mission to Moldova
554,55.0,U.S. Mission to Mongolia
555,107.0,U.S. Mission to Montenegro
556,97.0,U.S. Mission to Morocco
557,92.0,U.S. Mission to Mozambique
558,101.0,U.S. Mission to Myanmar
559,28.0,U.S. Mission to NATO
560,415.0,U.S. Mission to Namibia
561,26.0,U.S. Mission to Nepal
562,303.0,U.S. Mission to New Zealand
563,120.0,U.S. Mission to Nicaragua
564,120.0,U.S. Mission to Niger
565,314.0,U.S. Mission to Nigeria
566,235.0,U.S. Mission to North Macedonia
567,8.0,U.S. Mission to Norway
568,409.0,U.S. Mission to Pakistan
569,190.0,U.S. Mission to Panama
570,32.0,U.S. Mission to Papua New Guinea
571,33.0,U.S. Mission to Paraguay
572,83.0,U.S. Mission to Peru
573,41.0,U.S. Mission to Poland
574,9.0,U.S. Mission to Portugal
575,22.0,U.S. Mission to Qatar
576,14.0,U.S. Mission to Romania
577,277.0,U.S. Mission to Russia
578,32.0,U.S. Mission to Rwanda
579,92.0,U.S. Mission to Saudi Arabia
580,131.0,U.S. Mission to Senegal
581,365.0,U.S. Mission to Serbia
582,6.0,U.S. Mission to Sierra Leone
583,92.0,U.S. Mission to Singapore
584,130.0,U.S. Mission to Slovakia 
585,1410.0,U.S. Mission to Slovenia
586,18.0,U.S. Mission to Somalia
587,468.0,U.S. Mission to South Africa
588,85.0,U.S. Mission to South Korea
589,8.0,U.S. Mission to South Sudan
590,4.0,U.S. Mission to Spain
591,271.0,U.S. Mission to Sri Lanka
592,19.0,U.S. Mission to Sudan
593,26.0,U.S. Mission to Suriname
594,19.0,U.S. Mission to Sweden
595,15.0,U.S. Mission to Switzerland
596,85.0,U.S. Mission to Tajikistan
597,51.0,U.S. Mission to Tanzania
598,65.0,U.S. Mission to Thailand
599,1.0,U.S. Mission to Timor-Leste
600,44.0,U.S. Mission to Togo
601,28.0,U.S. Mission to Trinidad and Tobago
602,23.0,U.S. Mission to Tunisia
603,30.0,U.S. Mission to Turkey
604,48.0,U.S. Mission to Turkmenistan
605,663.0,U.S. Mission to Uganda
606,405.0,U.S. Mission to Ukraine
607,1.0,U.S. Mission to Uruguay
608,121.0,U.S. Mission to Uzbekistan
609,27.0,U.S. Mission to Venezuela
610,2930.0,U.S. Mission to Vietnam
611,198.0,U.S. Mission to Zambia
612,126.0,U.S. Mission to Zimbabwe
613,6.0,U.S. Mission to the Bahamas
614,166.0,U.S. Mission to the Czech Republic
615,182.0,U.S. Mission to the Democratic Republic of Congo
616,169.0,U.S. Mission to the Dominican Republic
617,37.0,U.S. Mission to the European Union
618,2.0,U.S. Mission to the International Organizations
619,1.0,U.S. Mission to the Marshall Islands
620,137.0,U.S. Mission to the Philippines
621,3.0,U.S. Mission to the Republic of Maldives
622,26.0,U.S. Mission to the Republic of the Congo
623,130.0,U.S. Mission to the United Kingdom
624,6.0,U.S. Mission to the United Nations
625,28.0,USACE Portland District
626,51.0,USAF 347 Contracting Squadron
627,40.0,USAID
628,12.0,USAID - Barbados and Eastern Caribbean
629,24.0,USAID-VIETNAM
630,72.0,USDA NRCS NH State Office
631,5.0,USDA-NRCS
632,50.0,USDA-NRCS-Iowa State Office
633,201.0,USDA-NRCS-MSD-Ft Worth Office
634,166.0,USDA-NRCS-NHQ
635,50.0,USUHS Medical - Non- Research Projects
636,52.0,USUHS Medical Research Projects
637,107.0,Uganda USAID-Kampala
638,43.0,Ukraine USAID-Kiev
639,259.0,Uniformed Services Univ. of the Health Sciences
640,295.0,United States Coast Guard 
641,1.0,United States Marine Corps
642,235.0,Utah State Office
643,1.0,Uzbekistan USAID-Tashkent
644,41.0,VA Loan Guaranty Service
645,255.0,VA National Cemetery Administration
646,1370.0,VA Office of Mental Health
647,281.0,VHA Member Services-Veterans Transportation 
648,122.0,Vermont State Office
649,1.0,Veterans Employment Pay for Success
650,206.0,Veterans Employment and Training Service
651,45.0,Veterans Legacy Grants Program
652,23.0,Virginia State Office
653,1913.0,Volunteer Income Tax Assistance
654,16.0,Walla Walla District
655,93.0,Washington Headquarters Services
656,61.0,Washington State Office
657,24.0,West Africa USAID-Ghana
658,138.0,"West Bank, Gaza USAID-West Bank"
659,47.0,Womens Bureau
660,45.0,Woodrow Wilson Center
661,88.0,Zambia USAID-Lusaka
662,58.0,Zimbabwe USAID-Harare
