,AgencyCode,AgencyName,CategoryOfFundingActivity.Element:Text,Description
2231,DOS-SBUR,Office of the Secretary,HO,"The U.S. Department of State seeks proposals from a consortium of qualified organizations for sustainable pilot projects that focus on all of the following key objectives: - Increase Sustainability of Women&#195;&#131;&#194;&#131;&#195;&#130;&#194;&#130;&#195;&#131;&#194;&#130;&#195;&#130;&#194;&#153;s Protection Centers: Partner with women&#195;&#131;&#194;&#131;&#195;&#130;&#194;&#130;&#195;&#131;&#194;&#130;&#195;&#130;&#194;&#153;s shelters to develop and pilot income-generating market-driven initiatives to increase the sustainability of shelter operations. (Particular attention should be paid to ensuring the confidentiality and safety of shelter beneficiaries in the development of these initiatives.) - Build Leadership Skills: Improve the ability of women and girls in shelters to successfully navigate and reintegrate into Afghan society through mentoring, educational opportunities (commensurate with education levels), and training focused on fostering self-confidence, including financial literacy. - Increase Economic Independence of Shelter Beneficiaries: Increase and improve opportunities for income generation or employment for shelter beneficiaries, including but not limited to the service sector, by providing on-the-job training, vocational skills, internships, mentoring, and practical career-building skills that enable them to engage in economic activity with competitive and practical skills, reflecting cultural and market conditions. Special consideration will also be given to programs that: 1) align with Afghanistans policies to prevent and respond to gender-based violence; and 2) develop partnerships between local organizations currently operating women&#195;&#131;&#194;&#131;&#195;&#130;&#194;&#130;&#195;&#131;&#194;&#130;&#195;&#130;&#194;&#153;s shelters and relevant stakeholders through the public and private sector that could provide apprenticeships or job opportunities commensurate with vocational skills training."
2620,USDOJ-OJP-OVW,Office on Violence Against Women,HO,"The Grants to Enhance Culturally Specific Services for Victims of Sexual Assault, Domestic Violence, Dating Violence and Stalking Program supports community-based non-profit organizations in providing culturally relevant services to victims of sexual assault, domestic violence, dating violence, and stalking."
2797,USDOJ-OJP-OVW,Office on Violence Against Women,HO,"The OVW Transitional Housing Assistance Grant Program for Victims of Domestic Violence, Dating Violence, Stalking or Sexual Assault Program (Transitional Housing Assistance Program) focuses on a holistic, victim-centered approach to providing transitional housing services that move survivors into permanent housing. Grants made under this grant program supports projects that provide assistance to victims of sexual assault, domestic violence, dating violence, and/or stalking who are in need of transitional housing, short-term housing assistance, and related supportive services. Successful transitional housing programs provide a wide range of flexible and optional services that reflect the differences and individual needs of victims and that allow victims to choose the course of action that is best for them. Transitional housing programs may offer services such as counseling, support groups, safety planning, and advocacy services as well as practical services such as licensed child care, employment services, transportation vouchers, telephones, and referrals to other agencies. Trained staff and case managers may also be available to work with survivors to help them determine and reach their goals of permanent housing."
2846,VA-HPGPDP,Homeless Providers Grant and Per Diem Program,HO,"The U.S. Department of Veterans Affairs (VA) is announcing the availability of funds for assistance under the Per Diem Only (PDO) component of VA&#146;s Homeless Providers Grant and Per Diem (GPD) Program. This Notice of Funding Availability (NOFA) is for those current &quot;Transition in Place&quot; (TIP) grantees who seek to renew their 2012 TIP PDO grants. Award Information: VA is pleased to issue this NOFA under VA&#146;s Homeless Providers GPD Program as a part of the effort to end homelessness among our Nation&#146;s Veterans. VA expects to fund approximately 500 beds over a 3-year period under this NOFA. The maximum award of $1.2 million will support an average of 25 beds per night, per project, at the current maximum per diem rate of $43.32; taking into consideration that the maximum per diem rate may increase in future years. Note: The final amount awarded may be adjusted based on any remaining funding from the previous award."
2888,USDOJ-OJP-OVW,Office on Violence Against Women,HO,"The United States Department of Justice, Office on Violence Against Women (OVW) (www.ovw.usdoj.gov) is pleased to announce that it is seeking applications for the Fiscal Year 2015 Rural Sexual Assault, Domestic Violence, Dating Violence, and Stalking Assistance Program. This program furthers the Department&#146;s mission by supporting projects designed to address and prevent sexual assault, domestic violence, dating violence, and stalking in rural jurisdictions."
2964,CNCS,Corporation for National and Community Service,HO,"The Social Innovation awards grants to grantmaking institutions, referred to as &#147;intermediaries.&#148; These intermediaries in turn competitively select, provide grants to, and otherwise support high-performing community-based nonprofit organizations to implement evidence-based programs in the areas of healthy futures, economic opportunity and youth development. The intermediaries and the nonprofits must match the grant funds they receive one-to-one in cash from non-federal sources."
3256,USAID-HAI,Haiti USAID-Port Au Prince,HO,"The purpose of this two-year activity is for USAID and its funding partner the American Red Cross (ARC), working closely with the Government of Haiti&#146;s Unit&#233; de Construction de Logements et de B&#226;timents Publics (UCLBP) within the Office of the Prime Minister, to support the Government of Haiti&#146;s (GoH) vision to promote equitable and resilient urban development in the Canaan zone."
3300,CNCS,Corporation for National and Community Service,HO,"Through this competition, the Corporation for National and Community Service (CNCS) seeks to increase the impact of national service in Indian County by offering funding opportunities for new grants to Indian Tribes in geographic areas not currently served by FGP grantees. CNCS intends to fund FGP Tribal grants that support volunteers age 55 years and older in activities that serve community needs and respond to the National Performance Measures, which prioritizes the Education Focus Area."
3306,CNCS,Corporation for National and Community Service,HO,"Through this competition, the Corporation for National and Community Service (CNCS) seeks to increase the impact of national service in Indian County by offering funding opportunities for new grants to Indian Tribes in geographic areas not currently served by SCP grantees. CNCS intends to fund SCP Tribal grants that support volunteers age 55 years and older in activities that serve community needs and respond to the SCP National Performance Measures and Elder Justice interventions to mitigate the potential that clients and caregivers served by Senior Companion volunteers will be victims of financial fraud, abuse, and/or neglect."
3374,VA-OMH,VA Office of Mental Health,HO,"The Department of Veterans Affairs (VA) is announcing the availability of funds for supportive services grants under the Supportive Services for Veteran Families (SSVF) Program. This NOFA contains information concerning the SSVF Program, initial supportive services grant application processes, and the amount of funding available. Awards made for supportive services grants will fund operations beginning October 1, 2015. This NOFA announces the availability of funds for supportive services grants under the SSVF Program and pertains to proposals for renewal of existing supportive services grant programs. New applications for SSVF grant awards will not be funded through this NOFA. Up to $300 million will be available through this NOFA. "
3404,HUD,Department of Housing and Urban Development,HO,To develop and implement small scale research projects that build upon the larger Choice Neighborhoods Demonstration research project.
3557,USAID-HAI,Haiti USAID-Port Au Prince,HO,Manage and administer a catalytic fund and provide strategic support to housing finance lenders and housing developers committed to sponsoring affordable housing development for average Haitian households
3574,USDOJ-OJP-OVW,Office on Violence Against Women,HO,"The Grants to Enhance Culturally Specific Services for Victims of Sexual Assault, Domestic Violence, Dating Violence and Stalking Program supports community-based organizations in providing culturally relevant services to victims of sexual assault, domestic violence, dating violence, and stalking."
3638,CNCS,Corporation for National and Community Service,HO,"CNCS may award an AmeriCorps planning grant or an AmeriCorps program grant under this announcement. A planning grant provides support to a grant recipient for the development of an AmeriCorps program that will engage AmeriCorps members in evidence-based or evidence-informed interventions to solve community problems. Grant recipients are awarded up to $75,000 for a 12-month planning period and are expected to be better prepared to compete for an AmeriCorps program grant in the following grant cycle. A planning grant may not be used to support AmeriCorps members. AmeriCorps program grants are awarded to eligible applicants proposing to engage AmeriCorps members in evidence-based or evidence-informed interventions to strengthen communities. An AmeriCorps member is an individual who engages in community service through an approved national service position. Members may receive a living allowance and other benefits while serving. Upon successful completion of their service, members earn a Segal AmeriCorps Education Award from the National Service Trust that members can use to pay for higher education expenses or apply to qualified student loans.For questions, email AmeriCorpsGrants@cns.gov "
4231,HUD,Department of Housing and Urban Development,HO,"This NOFA is designed with two components: OneCPD Integrated Practitioner Assistance System (OneCPD) and Core Curricula for Skills-Based Training (Core Curricula). 1. OneCPD is a cross-program, assessment-based, and impact-focused delivery system. OneCPD is intended as a collaborative effort among HUD, our state and local partners, including Continuums of Care (CoC), and successful applicants focused on building the kind of grantee management systems and functional capacity necessary to successfully carry out comprehensive and sustainable &#147;place-based&#148; development and revitalization strategies. Just as importantly, OneCPD will allow grantees to showcase accomplishments by measuring not only the outputs of this technical and capacity building assistance but the outcomes and the impact on communities as well. Through OneCPD, HUD can develop a new level of technical assistance and capacity building to meet the challenges facing federal funding recipients during the current nationwide economic retrenchment. Many of HUD&#146;s state and local government grantees have lost some of the capacity, resources and skills necessary to administer CPD programs within the contexts of their local markets. HUD&#146;s role in administering grants is two-fold: (1) build the capacity of grantees to support local decision-making with federal grants, and (2) conduct monitoring and oversight to ensure compliance with applicable regulations and to ensure appropriate use of funding. To address both purposes, OneCPD will focus on skills, planning, and innovation to build grantee capacity and help grantees comply with regulatory requirements. The Core Curricula will support the development and delivery of core courses and topic-specific trainings to improve grantee skills in the areas of development finance, environmental review and compliance, asset management and preservation, and construction and rehabilitation management. "
4253,HUD,Department of Housing and Urban Development,HO,"This is a Notice of Funding Availability (NOFA) of up to $5.25 million in Fiscal Year 2013 and 2014 funds from the U.S. Department of Housing and Urban Development for research and evaluations. The funds are provided from HUD&#8217;s Office of Policy Development and Research from the Transformation Initiative appropriations account. Funds will be awarded in the form of cooperative agreement. Eligible applicants include: public or private nonprofit organizations or intermediaries, including institutions of higher education and area-wide planning organizations; for profit organizations; States, units of general local government, or Indian tribes; public housing authorities; and small businesses. "
4480,HUD,Department of Housing and Urban Development,HO,"The purpose of the Public and Indian Housing Resident Opportunity and Self Sufficiency (ROSS) Service Coordinators (ROSS-SC) program is to provide grants to public housing agencies (PHAs), tribes/tribally designated housing entities (TDHEs), Resident Associations (RAs), and tax-exempt nonprofit organizations (including grassroots, faith-based and other community-based organizations) for the provision of a Service Coordinator to coordinate supportive services and other activities designed to help Public and Indian housing residents attain economic and housing self-sufficiency. This program works to promote the development of local strategies to coordinate the use of assistance under the Public Housing program with public and private resources, for supportive services and resident empowerment activities. These services should enable participating families to increase earned income, reduce or eliminate the need for welfare assistance, make progress toward achieving economic independence and housing self-sufficiency or, in the case of elderly or disabled residents, help improve living conditions and enable residents to age in-place. A Service Coordinator ensures that program participants are linked to the supportive services they need to achieve self-sufficiency or remain independent. Funds in this program are not allowed to be used for the direct provision of these services. This program is similar to the Public Housing Family Self- Sufficiency program (PH FSS) however, the PH FSS program is open only to PHAs and tribes/TDHEs, has a requirement of an escrow account for its participants and provides one-year funding. The ROSS SC program is open to nonprofit and Resident Association applicants, provides three-year funding, includes administrative expenses and training as eligible uses of the funds and requires a 25% match by statute. A PHA or tribe may receive grants in both programs. "
4754,HUD,Department of Housing and Urban Development,HO,"The purpose of HUD&#8217;s Housing Counseling Grant Program is to provide funds that shall be used for providing counseling and advice to tenants and homeowners, both current and prospective, with respect to property maintenance, financial management/ literacy, and such other matters as may be appropriate to assist them in improving their housing conditions, meeting their financial needs, and fulfilling the responsibilities of tenancy or homeownership. Funding provided by this NOFA is intended to support HUD-approved housing counseling agencies to respond flexibly to the needs of residents and neighborhoods, and deliver a wide variety of housing counseling services to homebuyers, homeowners, renters, and the homeless. This NOFA plays an integral role in the continued stabilization of our nation&#8217;s housing market by helping individuals and families obtain housing and stay in their homes through responsible homeownership or affordable rental housing. Traditionally underserved populations, such as minorities, the elderly, veterans, persons with disabilities, persons with limited English proficiency and residents of rural areas, face additional housing and economic challenges. HUD&#8217;s Comprehensive Housing Counseling Grant Program funds housing counselors who provide expert, unbiased guidance and information to help families and individuals meet their housing needs and improve their financial situations. Moreover, HUD grants assist housing counselors to act as an important safeguard against scams and discrimination, and to act as an important gateway to local, state, federal and private housing assistance."
4785,HUD,Department of Housing and Urban Development,HO,"This Initiative provides funding to QFHOs, FHOs, and nonprofit groups organizing to build their capacity in fair housing enforcement, establish new fair housing enforcement organizations and/or provide fair lending enforcement. Under this component, these enforcement organizations will conduct fair housing enforcement activities in underserved areas as defined in &#147;Program Definitions&#148; of this NOFA, rural areas and/or areas with new immigrants (especially racial and ethnic minorities who are not English speaking or have limited English proficiency. There are three components under this FHOI Initiative: the (1) Establishing New Organizations Component, the (2) Continued Development General Component and the (3) Continued Development Mortgage Rescue Scams Component. 1) Establishing New Organizations Component (ENOC): Under this component HUD provides assistance to a FHIP qualified sponsoring organization that will establish a sponsored organization or to an organization to become a viable fair housing enforcement organization that will conduct fair housing activities in underserved areas (as defined in Section I.B. &#147;Program Definitions&#148; of this NOFA) ; rural areas and/or areas with new immigrants (especially racial and ethnic minorities who are not English-speaking or have limited English proficiency). If you are sponsoring an organization, the sponsoring organization must submit the application and must certify that the sponsored organization has the ability to become a FHO. The period of performance for the award of funds to assist in establishment of an organization is 12-18 months. Total funding is awarded to the sponsoring organization who will then distribute funding to the sponsored organization, based upon HUD&#146;s performance criteria. If performance for the sponsored organization falls below &#147;Fair&#148;, the sponsoring organization will immediately notify the HUD GTR of the performance shortfalls and suspend all funding payments to the sponsored organization. The HUD GTR will then conduct a monitoring review of both the sponsored and sponsoring organizations to determine if payment should be reinstated or terminated. (2) Lending Discrimination Component (LDC) : This component will assist organizations that provide assistance to victims of fraud and lending abuse (for example, through counseling, loan workouts, etc.) to build their capacity to provide fair lending assistance and bring Fair Housing Act enforcement actions. (3) Continued Development General Component: This component will assist QFHOs, FHOs, other private nonprofit fair housing enforcement organizations and nonprofit groups in building their fair housing capacity in areas with high concentrations of mortgage scam activities. This component will also assist organizations in setting up fair housing satellite offices in other jurisdictions to enlarge their operations. "
4788,HUD,Department of Housing and Urban Development,HO,"This Initiative assists private, tax-exempt fair housing enforcement organizations in the investigation and enforcement of alleged violations of the Fair Housing Act. There are three components under this Initiative: (1) Multi-Year Component. Eligible applicants are Fair Housing Enforcement Organizations (FHOs) or Qualified Fair Housing Organizations (QFHOs) with at least one or two year&#146;s experience, respectively, in complaint intake, investigation and fair housing testing. (See Chart on Section III.A. for additional and specific eligibility requirements) and (2) Lending Discrimination Component (PEI-LDC): Eligible applicants are QFHOs and FHOs who have the organizational capacity to combat abusive mortgage practices in their communities. PEI-LDC has the same eligibility as PEI-MY with additional distinct requirements. (See chart on Section III.A. for all eligibility requirements). (3) Performance Based Component (PEI-PB) continuation from FY 2010. "
4791,HUD,Department of Housing and Urban Development,HO,"This Initiative assists organizations that inform the general public about their rights and obligations under the Fair Housing Act. Under this Initiative, there are two programs with a total of five components. They are the EOI -Regional/Local/Community-Based Program (R/L/C-B) which includes the General Component, Lending Component, Higher Education Component and Affirmatively Furthering Fair Housing Component; and the EOI - National-Based Program which includes the National-Media Campaign Component (See chart in section III. A. for all eligibility requirements). All EOI applicants are required to describe a referral process that will result in referral of fair housing complaints to HUD or Fair Housing Assistance Program (FHAP) substantially equivalent agencies. If funded, the grantee will be required to develop and implement the complaint referral process referenced in the application."
4809,HUD,Department of Housing and Urban Development,HO,"The purpose of the HCV FSS program is to promote the development of local strategies to coordinate the use of assistance under the HCV program with public and private resources to enable participating families to increase earned income and financial literacy, reduce or eliminate the need for welfare assistance, and make progress toward economic independence and self-sufficiency. The FSS program and this FSS NOFA support the Department&#146;s strategic goal of utilizing housing as a platform for improving quality of life by helping HUD-assisted renters increase economic security and self-sufficiency. The FSS program provides critical tools that can be used by communities to help families develop new skills that will lead to economic self-sufficiency. As a result of their participation in the FSS program, many families have achieved stable employment. An FSS program coordinator assures that program participants are linked to the supportive services they need to achieve self-sufficiency. In addition to working directly with families, an FSS Program Coordinator is responsible for building partnership with employers and service providers in the community to help participants obtain jobs and services. FSS Program Coordinators must ensure that the services included in contracts of participation of program participants are provided on a regular, ongoing and satisfactory basis, that participants are fulfilling their responsibilities under the contracts and that FSS escrow accounts are established and properly maintained for eligible families."
4926,USDOJ-OJP-OVW,Office on Violence Against Women,HO,"The United States Department of Justice, Office on Violence Against Women (OVW) (www.ovw.usdoj.gov) is please to announce that it is seeking applications for the Transitional Housing Assistance Program. This program furthers the Department&#146;s mission by providing transitional housing assistance to victims of sexual assault, domestic violence, dating violence, and/or stalking."
5171,HUD,Department of Housing and Urban Development,HO,"Today&apos;s posting provides information and instructions for a second round of funding for mold remediation and prevention under what had been identified as Category Two grants in the fiscal year (FY) 2014 ICDBG Notice of Funding Availability (NOFA). It announces the availability of approximately $12,400,000 for mold remediation and prevention in and on housing units owned or operated by tribes and tribally designated housing entities (TDHE) or assisted with HUD funding. This Notice is comprised of both the Policy Requirements and General Section (General Section) to HUD&apos;s FY2015 NOFAs for Discretionary Programs posted on http://www.grants.gov/ and this program section to the NOFA. HUD&apos;s ICDBG program is authorized by Title I of the Housing and Community Development Act of 1974, and the ICDBG program regulations at 24 CFR Part 1003. In addition to the application requirements set forth in this document, applicants must also comply with applicable requirements established in the General Section."
5333,HUD,Department of Housing and Urban Development,HO,"This Notice is divided into five sections. Section I. provides background information on the CoC Program and an overview of the Continuum of Care (CoC) planning process. Section II. contains key terms used throughout this Notice and the registration process. Section III. provides detailed information on completing the CoC registration process in e-snaps. Section IV. provides information about policies being implemented for the FY 2015 CoC Program Competition and certain requirements that all applicants should consider. Section V. provides registration resources to help Collaborative Applicants to successfully complete the registration process and to prepare for submission. This Notice includes citations from 24 CFR part 578, which applicants and stakeholders are expected to read to increase their knowledge and understanding of the CoC Program requirements."
5413,CNCS,Corporation for National and Community Service,HO,"&#8226; The purpose of the Martin Luther King Jr. Day of Service grant funding is to mobilize more Americans to observe the Martin Luther King Jr. federal holiday as a day of service in communities, to encourage those who serve on this holiday to make a long-term commitment to community service, and to bring people together to focus on service to others. &#8226; On the third Monday in January, Americans across the country celebrate this national holiday honoring the life and work of Dr. Martin Luther King, Jr. During his lifetime, Dr. King sought to forge the common ground on which people from all walks of life could join together as equals to address important community issues. Service, he realized, was the great equalizer. As he stated, &#8220;Everybody can be great, because everybody can serve.&#8221;&#8226; In recognition of that spirit, Congress in 1994 passed the King Holiday and Service Act. Since then CNCS, in partnership with the Martin Luther King, Jr. Center for Nonviolent Social Change, Inc., has taken the lead in helping to transform the King Holiday into a day of service to meet community needs. As they have since 1994, thousands of Americans will remember Dr. King by serving in their communities, by making the holiday &#8220;A Day On, Not a Day Off.&#8221; Service projects will meet a tangible need in the community, such as supporting increased access to college, alleviating hunger, and teaching about nutrition, and these projects may, at the same time, also meet a need of community spirit, such as building a sense of community or mutual responsibility. All initiatives should serve as a call to service that continues throughout the year. These service projects will be built on Dr. King&#8217;s concepts of strengthening communities, empowering individuals, and bridging barriers. For more information, visit www.nationalservice.gov/MLKNOFA."
